,log_id,log_dtimes,log_desc,event_id,event_type,event_name,action_dtimes,host_name,host_ip,session_user_id,session_user_name,app_id,app_name,module_id,module_name,ref_id,ref_id_type,cr_by,is_anomaly
0,2694726d-6c75-4c68-9ec8-cdb251edc654,2021-06-24 15:15:15.490196,Otp send sucessfully,PRE_410,BUSINESS,AUTHENTICATION,2021-06-24 15:15:15.478,prereg-application-service-6dfcd55896-pw4ct,10.244.3.32,aaron.dwyer.8569@mailinator.com,aaron.dwyer.8569@mailinator.com,MOSIP_1,PREREGISTRATION,AUTHENTICATION,AUTHENTICATION_SERVICE,NO_ID,PRE_REGISTRATION_ID,"SYSTEM
",True
1,5b38cfaf-2ebf-4a17-a6a4-b9122a74eb70,2021-06-24 15:15:16.66885,User sucessfully logged-in,PRE_410,BUSINESS,AUTHENTICATION,2021-06-24 15:15:16.66,prereg-application-service-6dfcd55896-pw4ct,10.244.3.32,aaron.dwyer.8569@mailinator.com,aaron.dwyer.8569@mailinator.com,MOSIP_1,PREREGISTRATION,AUTHENTICATION,AUTHENTICATION_SERVICE,NO_ID,PRE_REGISTRATION_ID,"SYSTEM
",True
2,e973c412-fb67-4f6f-8e94-d76bf5e59ac8,2021-06-24 15:15:17.834327,Pre-Registration data is sucessfully saved in the demographic table,PRE_407,BUSINESS,PERSIST,2021-06-24 15:15:17.823,prereg-application-service-6dfcd55896-pw4ct,10.244.3.32,aaron.dwyer.8569@mailinator.com,aaron.dwyer.8569@mailinator.com,MOSIP_1,PREREGISTRATION,DEM,DEMOGRAPHY_SERVICE,NO_ID,PRE_REGISTRATION_ID,"SYSTEM
",True
3,dd335386-3914-49c0-9021-1bffe05228e0,2021-06-24 15:15:19.342927,Document uploaded & the respective Pre-Registration data is saved in the document table,PRE_404,BUSINESS,UPLOAD,2021-06-24 15:15:19.334,prereg-application-service-6dfcd55896-pw4ct,10.244.3.32,aaron.dwyer.8569@mailinator.com,aaron.dwyer.8569@mailinator.com,MOSIP_1,PREREGISTRATION,DOC,DOCUMENT_SERVICE,NO_ID,PRE_REGISTRATION_ID,"SYSTEM
",True
4,e5cb06e5-3381-4df0-87e5-e5d07870b3a9,2021-06-24 15:15:20.118901,Document uploaded & the respective Pre-Registration data is saved in the document table,PRE_404,BUSINESS,UPLOAD,2021-06-24 15:15:20.11,prereg-application-service-6dfcd55896-pw4ct,10.244.3.32,aaron.dwyer.8569@mailinator.com,aaron.dwyer.8569@mailinator.com,MOSIP_1,PREREGISTRATION,DOC,DOCUMENT_SERVICE,NO_ID,PRE_REGISTRATION_ID,"SYSTEM
",True
5,10625d52-8e24-4d82-a6c4-3392e6a37c80,2021-06-24 15:15:20.890152,Document uploaded & the respective Pre-Registration data is saved in the document table,PRE_404,BUSINESS,UPLOAD,2021-06-24 15:15:20.88,prereg-application-service-6dfcd55896-pw4ct,10.244.3.32,aaron.dwyer.8569@mailinator.com,aaron.dwyer.8569@mailinator.com,MOSIP_1,PREREGISTRATION,DOC,DOCUMENT_SERVICE,NO_ID,PRE_REGISTRATION_ID,"SYSTEM
",True
6,c6c08be6-e2c9-480c-83c3-e6efd06cf906,2021-06-24 15:15:21.660763,Document uploaded & the respective Pre-Registration data is saved in the document table,PRE_404,BUSINESS,UPLOAD,2021-06-24 15:15:21.652,prereg-application-service-6dfcd55896-pw4ct,10.244.3.32,aaron.dwyer.8569@mailinator.com,aaron.dwyer.8569@mailinator.com,MOSIP_1,PREREGISTRATION,DOC,DOCUMENT_SERVICE,NO_ID,PRE_REGISTRATION_ID,"SYSTEM
",True
7,c5c6e77c-1df3-4e92-bc13-88f8504e8960,2021-06-24 15:15:22.422653,Document uploaded & the respective Pre-Registration data is saved in the document table,PRE_404,BUSINESS,UPLOAD,2021-06-24 15:15:22.412,prereg-application-service-6dfcd55896-pw4ct,10.244.3.32,aaron.dwyer.8569@mailinator.com,aaron.dwyer.8569@mailinator.com,MOSIP_1,PREREGISTRATION,DOC,DOCUMENT_SERVICE,NO_ID,PRE_REGISTRATION_ID,"SYSTEM
",True
8,1f5fde71-797d-4ce0-abd7-f3cdc2600db2,2021-06-24 15:15:23.326873,Availability retrieved successfully for booking,PRE_401,BUSINESS,RETRIEVE,2021-06-24 15:15:23.316,prereg-booking-service-5c57b8d675-hpshx,10.244.3.26,aaron.dwyer.8569@mailinator.com,aaron.dwyer.8569@mailinator.com,MOSIP_1,PREREGISTRATION,BOOK,BOOKING_SERVICE,10001,PRE_REGISTRATION_ID,"SYSTEM
",True
9,3d3c3abb-177a-47e9-8815-51e4f28dbe4c,2021-06-24 15:15:24.089925,Appointment booked successfully,PRE_407,BUSINESS,PERSIST,2021-06-24 15:15:24.08,prereg-booking-service-5c57b8d675-hpshx,10.244.3.26,aaron.dwyer.8569@mailinator.com,aaron.dwyer.8569@mailinator.com,MOSIP_1,PREREGISTRATION,BOOK,BOOKING_SERVICE,10001,PRE_REGISTRATION_ID,"SYSTEM
",True
